season,round,grand_prix,circuit,driver,grid_position,finish_position,status,grid_source_url,race_source_url
2026,1,Australia,Albert Park,RUS,1,1,classified,https://www.formula1.com/en/results/2026/races/1279/australia/starting-grid,https://www.formula1.com/en/results/2025/races/1279/australia/race-result
2026,1,Australia,Albert Park,ANT,2,2,classified,https://www.formula1.com/en/results/2026/races/1279/australia/starting-grid,https://www.formula1.com/en/results/2025/races/1279/australia/race-result
2026,1,Australia,Albert Park,HAD,3,,nc,https://www.formula1.com/en/results/2026/races/1279/australia/starting-grid,https://www.formula1.com/en/results/2025/races/1279/australia/race-result
2026,1,Australia,Albert Park,LEC,4,3,classified,https://www.formula1.com/en/results/2026/races/1279/australia/starting-grid,https://www.formula1.com/en/results/2025/races/1279/australia/race-result
2026,1,Australia,Albert Park,PIA,5,,nc,https://www.formula1.com/en/results/2026/races/1279/australia/starting-grid,https://www.formula1.com/en/results/2025/races/1279/australia/race-result
2026,1,Australia,Albert Park,NOR,6,5,classified,https://www.formula1.com/en/results/2026/races/1279/australia/starting-grid,https://www.formula1.com/en/results/2025/races/1279/australia/race-result
2026,1,Australia,Albert Park,HAM,7,4,classified,https://www.formula1.com/en/results/2026/races/1279/australia/starting-grid,https://www.formula1.com/en/results/2025/races/1279/australia/race-result
2026,1,Australia,Albert Park,LAW,8,13,classified,https://www.formula1.com/en/results/2026/races/1279/australia/starting-grid,https://www.formula1.com/en/results/2025/races/1279/australia/race-result
2026,1,Australia,Albert Park,LIN,9,8,classified,https://www.formula1.com/en/results/2026/races/1279/australia/starting-grid,https://www.formula1.com/en/results/2025/races/1279/australia/race-result
2026,1,Australia,Albert Park,BOR,10,9,classified,https://www.formula1.com/en/results/2026/races/1279/australia/starting-grid,https://www.formula1.com/en/results/2025/races/1279/australia/race-result
2026,1,Australia,Albert Park,HUL,11,,nc,https://www.formula1.com/en/results/2026/races/1279/australia/starting-grid,https://www.formula1.com/en/results/2025/races/1279/australia/race-result
2026,1,Australia,Albert Park,BEA,12,7,classified,https://www.formula1.com/en/results/2026/races/1279/australia/starting-grid,https://www.formula1.com/en/results/2025/races/1279/australia/race-result
2026,1,Australia,Albert Park,OCO,13,11,classified,https://www.formula1.com/en/results/2026/races/1279/australia/starting-grid,https://www.formula1.com/en/results/2025/races/1279/australia/race-result
2026,1,Australia,Albert Park,GAS,14,10,classified,https://www.formula1.com/en/results/2026/races/1279/australia/starting-grid,https://www.formula1.com/en/results/2025/races/1279/australia/race-result
2026,1,Australia,Albert Park,ALB,15,12,classified,https://www.formula1.com/en/results/2026/races/1279/australia/starting-grid,https://www.formula1.com/en/results/2025/races/1279/australia/race-result
2026,1,Australia,Albert Park,COL,16,14,classified,https://www.formula1.com/en/results/2026/races/1279/australia/starting-grid,https://www.formula1.com/en/results/2025/races/1279/australia/race-result
2026,1,Australia,Albert Park,ALO,17,,nc,https://www.formula1.com/en/results/2026/races/1279/australia/starting-grid,https://www.formula1.com/en/results/2025/races/1279/australia/race-result
2026,1,Australia,Albert Park,PER,18,16,classified,https://www.formula1.com/en/results/2026/races/1279/australia/starting-grid,https://www.formula1.com/en/results/2025/races/1279/australia/race-result
2026,1,Australia,Albert Park,BOT,19,,nc,https://www.formula1.com/en/results/2026/races/1279/australia/starting-grid,https://www.formula1.com/en/results/2025/races/1279/australia/race-result
2026,1,Australia,Albert Park,VER,20,6,classified,https://www.formula1.com/en/results/2026/races/1279/australia/starting-grid,https://www.formula1.com/en/results/2025/races/1279/australia/race-result
2026,1,Australia,Albert Park,SAI,21,15,classified,https://www.formula1.com/en/results/2026/races/1279/australia/starting-grid,https://www.formula1.com/en/results/2025/races/1279/australia/race-result
2026,1,Australia,Albert Park,STR,22,,nc,https://www.formula1.com/en/results/2026/races/1279/australia/starting-grid,https://www.formula1.com/en/results/2025/races/1279/australia/race-result
2026,2,China,Shanghai,ANT,1,1,classified,https://www.formula1.com/en/results/2026/races/1280/china/starting-grid,https://www.formula1.com/en/results/2026/races/1280/china/race-result
2026,2,China,Shanghai,RUS,2,2,classified,https://www.formula1.com/en/results/2026/races/1280/china/starting-grid,https://www.formula1.com/en/results/2026/races/1280/china/race-result
2026,2,China,Shanghai,HAM,3,3,classified,https://www.formula1.com/en/results/2026/races/1280/china/starting-grid,https://www.formula1.com/en/results/2026/races/1280/china/race-result
2026,2,China,Shanghai,LEC,4,4,classified,https://www.formula1.com/en/results/2026/races/1280/china/starting-grid,https://www.formula1.com/en/results/2026/races/1280/china/race-result
2026,2,China,Shanghai,PIA,5,,nc,https://www.formula1.com/en/results/2026/races/1280/china/starting-grid,https://www.formula1.com/en/results/2026/races/1280/china/race-result
2026,2,China,Shanghai,NOR,6,,nc,https://www.formula1.com/en/results/2026/races/1280/china/starting-grid,https://www.formula1.com/en/results/2026/races/1280/china/race-result
2026,2,China,Shanghai,GAS,7,6,classified,https://www.formula1.com/en/results/2026/races/1280/china/starting-grid,https://www.formula1.com/en/results/2026/races/1280/china/race-result
2026,2,China,Shanghai,VER,8,,nc,https://www.formula1.com/en/results/2026/races/1280/china/starting-grid,https://www.formula1.com/en/results/2026/races/1280/china/race-result
2026,2,China,Shanghai,HAD,9,8,classified,https://www.formula1.com/en/results/2026/races/1280/china/starting-grid,https://www.formula1.com/en/results/2026/races/1280/china/race-result
2026,2,China,Shanghai,BEA,10,5,classified,https://www.formula1.com/en/results/2026/races/1280/china/starting-grid,https://www.formula1.com/en/results/2026/races/1280/china/race-result
2026,2,China,Shanghai,HUL,11,11,classified,https://www.formula1.com/en/results/2026/races/1280/china/starting-grid,https://www.formula1.com/en/results/2026/races/1280/china/race-result
2026,2,China,Shanghai,COL,12,10,classified,https://www.formula1.com/en/results/2026/races/1280/china/starting-grid,https://www.formula1.com/en/results/2026/races/1280/china/race-result
2026,2,China,Shanghai,OCO,13,14,classified,https://www.formula1.com/en/results/2026/races/1280/china/starting-grid,https://www.formula1.com/en/results/2026/races/1280/china/race-result
2026,2,China,Shanghai,LAW,14,7,classified,https://www.formula1.com/en/results/2026/races/1280/china/starting-grid,https://www.formula1.com/en/results/2026/races/1280/china/race-result
2026,2,China,Shanghai,LIN,15,12,classified,https://www.formula1.com/en/results/2026/races/1280/china/starting-grid,https://www.formula1.com/en/results/2026/races/1280/china/race-result
2026,2,China,Shanghai,BOR,16,,nc,https://www.formula1.com/en/results/2026/races/1280/china/starting-grid,https://www.formula1.com/en/results/2026/races/1280/china/race-result
2026,2,China,Shanghai,SAI,17,9,classified,https://www.formula1.com/en/results/2026/races/1280/china/starting-grid,https://www.formula1.com/en/results/2026/races/1280/china/race-result
2026,2,China,Shanghai,ALB,18,,nc,https://www.formula1.com/en/results/2026/races/1280/china/starting-grid,https://www.formula1.com/en/results/2026/races/1280/china/race-result
2026,2,China,Shanghai,ALO,19,,nc,https://www.formula1.com/en/results/2026/races/1280/china/starting-grid,https://www.formula1.com/en/results/2026/races/1280/china/race-result
2026,2,China,Shanghai,BOT,20,13,classified,https://www.formula1.com/en/results/2026/races/1280/china/starting-grid,https://www.formula1.com/en/results/2026/races/1280/china/race-result
2026,2,China,Shanghai,STR,21,,nc,https://www.formula1.com/en/results/2026/races/1280/china/starting-grid,https://www.formula1.com/en/results/2026/races/1280/china/race-result
2026,2,China,Shanghai,PER,22,15,classified,https://www.formula1.com/en/results/2026/races/1280/china/starting-grid,https://www.formula1.com/en/results/2026/races/1280/china/race-result
2026,3,Japan,Suzuka,ANT,1,1,classified,https://www.formula1.com/en/results/2026/races/1281/japan/starting-grid,https://www.formula1.com/en/results/2026/races/1281/japan/race-result
2026,3,Japan,Suzuka,RUS,2,4,classified,https://www.formula1.com/en/results/2026/races/1281/japan/starting-grid,https://www.formula1.com/en/results/2026/races/1281/japan/race-result
2026,3,Japan,Suzuka,PIA,3,2,classified,https://www.formula1.com/en/results/2026/races/1281/japan/starting-grid,https://www.formula1.com/en/results/2026/races/1281/japan/race-result
2026,3,Japan,Suzuka,LEC,4,3,classified,https://www.formula1.com/en/results/2026/races/1281/japan/starting-grid,https://www.formula1.com/en/results/2026/races/1281/japan/race-result
2026,3,Japan,Suzuka,NOR,5,5,classified,https://www.formula1.com/en/results/2026/races/1281/japan/starting-grid,https://www.formula1.com/en/results/2026/races/1281/japan/race-result
2026,3,Japan,Suzuka,HAM,6,6,classified,https://www.formula1.com/en/results/2026/races/1281/japan/starting-grid,https://www.formula1.com/en/results/2026/races/1281/japan/race-result
2026,3,Japan,Suzuka,GAS,7,7,classified,https://www.formula1.com/en/results/2026/races/1281/japan/starting-grid,https://www.formula1.com/en/results/2026/races/1281/japan/race-result
2026,3,Japan,Suzuka,HAD,8,12,classified,https://www.formula1.com/en/results/2026/races/1281/japan/starting-grid,https://www.formula1.com/en/results/2026/races/1281/japan/race-result
2026,3,Japan,Suzuka,BOR,9,13,classified,https://www.formula1.com/en/results/2026/races/1281/japan/starting-grid,https://www.formula1.com/en/results/2026/races/1281/japan/race-result
2026,3,Japan,Suzuka,LIN,10,14,classified,https://www.formula1.com/en/results/2026/races/1281/japan/starting-grid,https://www.formula1.com/en/results/2026/races/1281/japan/race-result
2026,3,Japan,Suzuka,VER,11,8,classified,https://www.formula1.com/en/results/2026/races/1281/japan/starting-grid,https://www.formula1.com/en/results/2026/races/1281/japan/race-result
2026,3,Japan,Suzuka,OCO,12,10,classified,https://www.formula1.com/en/results/2026/races/1281/japan/starting-grid,https://www.formula1.com/en/results/2026/races/1281/japan/race-result
2026,3,Japan,Suzuka,HUL,13,11,classified,https://www.formula1.com/en/results/2026/races/1281/japan/starting-grid,https://www.formula1.com/en/results/2026/races/1281/japan/race-result
2026,3,Japan,Suzuka,LAW,14,9,classified,https://www.formula1.com/en/results/2026/races/1281/japan/starting-grid,https://www.formula1.com/en/results/2026/races/1281/japan/race-result
2026,3,Japan,Suzuka,COL,15,16,classified,https://www.formula1.com/en/results/2026/races/1281/japan/starting-grid,https://www.formula1.com/en/results/2026/races/1281/japan/race-result
2026,3,Japan,Suzuka,SAI,16,15,classified,https://www.formula1.com/en/results/2026/races/1281/japan/starting-grid,https://www.formula1.com/en/results/2026/races/1281/japan/race-result
2026,3,Japan,Suzuka,ALB,17,20,classified,https://www.formula1.com/en/results/2026/races/1281/japan/starting-grid,https://www.formula1.com/en/results/2026/races/1281/japan/race-result
2026,3,Japan,Suzuka,BEA,18,,nc,https://www.formula1.com/en/results/2026/races/1281/japan/starting-grid,https://www.formula1.com/en/results/2026/races/1281/japan/race-result
2026,3,Japan,Suzuka,PER,19,17,classified,https://www.formula1.com/en/results/2026/races/1281/japan/starting-grid,https://www.formula1.com/en/results/2026/races/1281/japan/race-result
2026,3,Japan,Suzuka,BOT,20,19,classified,https://www.formula1.com/en/results/2026/races/1281/japan/starting-grid,https://www.formula1.com/en/results/2026/races/1281/japan/race-result
2026,3,Japan,Suzuka,ALO,21,18,classified,https://www.formula1.com/en/results/2026/races/1281/japan/starting-grid,https://www.formula1.com/en/results/2026/races/1281/japan/race-result
2026,3,Japan,Suzuka,STR,22,,nc,https://www.formula1.com/en/results/2026/races/1281/japan/starting-grid,https://www.formula1.com/en/results/2026/races/1281/japan/race-result
